issn,member,created_date
2549-7162,9640,2020-03-05
1544-0044,29101,2021-05-04
1439-2127,374,2013-02-20
0193-3434,78,2016-08-04
1365-232X,311,2016-02-25
1971-0720,4169,2021-06-08
2745-7699,10045,2021-11-10
2675-7311,29109,2021-09-20
2193-9004,297,2013-05-25
2711-015X,9750,2021-06-30
2655-4267,30419,2021-07-05
2302-612X,5094,2020-09-08
1705-4591,4194,2012-07-17
2456-7655,9531,2018-08-18
0797-6194,19197,2019-03-13
0143-2060,301,2008-12-17
2042-647X,378,2012-04-13
2639-913X,18853,2021-05-20
2158-1789,301,2011-04-02
0340-5435,374,2009-05-25
1693-6701,4386,2014-03-04
1818-9512,1861,2013-04-11
1661-9870,18505,2021-09-16
2706-9982,10026,2020-12-17
2789-9462,7770,2021-11-21
0032-1877,311,2010-08-04
1976-7285,31712,2021-07-23
2710-0243,28712,2021-09-14
2503-4626,12328,2019-02-11
2163-1646,3951,2018-09-03
2575-2480,2986,2018-01-08
2655-3465,24930,2021-01-31
2377-6765,5467,2017-03-17
2302-0970,29228,2021-09-29
1810-8350,8385,2018-06-04
2709-524X,29908,2021-04-06
2466-5878,7597,2018-08-09
0940-5569,7437,2019-12-03
2087-7293,24736,2021-08-24
2614-6339,9751,2019-11-08
2523-7802,297,2020-10-23
1220-4749,374,2015-10-22
2309-0952,1861,2016-11-21
1520-6130,263,2007-11-21
2455-4464,8862,2016-08-17
0093-9978,1973,2007-12-19
2664-2905,7834,2020-03-24
1978-7057,10208,2019-05-23
1469-9354,301,2011-09-15
2356-1505,18921,2019-02-02
0795-8080,2895,2011-11-25
2634-5870,297,2020-11-05
1023-862X,7005,2017-07-26
1527-9162,278,2003-04-02
2008-4390,11790,2018-05-29
2722-9610,10003,2021-07-19
1245-2300,2000,2018-08-29
1440-1711,297,2021-09-17
1340-8097,7822,2012-12-14
2731-3484,297,2021-11-02
2394-0247,9350,2020-12-30
0142-0453,98,2007-03-08
2211-0402,78,2013-01-23
0976-5530,4682,2015-04-14
2745-4509,28609,2020-12-21
0106-4525,4226,2021-09-29
2531-9884,21822,2021-04-13
2808-2516,28807,2021-10-16
2621-4164,10735,2021-07-03
2640-6691,10733,2019-01-17
0013-8827,3444,2016-01-14
2631-374X,15932,2018-10-30
2055-0839,24549,2021-08-31
2662-155X,297,2021-05-26
0951-0079,56,2009-07-13
0954-3465,301,2017-09-27
2598-0416,20298,2019-10-14
0267-1689,265,2010-06-09
2502-4523,5959,2020-09-27
2661-8796,297,2021-04-28
2714-8483,8658,2020-06-13
1688-4949,11535,2019-12-02
2597-7261,22810,2019-11-21
2412-4710,7834,2020-11-29
1074-6005,263,2007-06-20
0073-8204,2000,2015-03-12
2042-1249,179,2012-03-24
0073-134X,3444,2016-01-15
2730-9096,297,2021-07-05
2215-6100,27218,2020-10-08
2808-2869,11135,2021-11-01
0956-7143,78,2008-07-18
1351-0002,138,2006-03-12
1110-5607,2895,2011-11-30
2524-8839,297,2021-02-10
0304-2995,78,2011-02-24
2571-6638,127,2018-02-09
0854-7904,18423,2020-10-11
1868-5080,374,2010-04-23
2690-2427,30,2021-04-14
0324-1653,27567,2019-07-14
2349-9451,15163,2019-10-26
2444-9792,10411,2021-07-22
2614-333X,17652,2020-07-06
2580-0043,18590,2020-09-23
1929-5367,3329,2016-11-10
2414-5424,7834,2016-04-07
2051-2104,56,2009-05-18
2549-1636,9640,2019-06-17
0973-4538,9334,2016-09-06
2701-8970,5471,2020-09-21
0013-8878,3444,2016-01-15
2581-5067,21859,2020-12-14
0522-6457,2101,2015-05-04
1979-9543,12263,2018-04-20
0029-4780,266,2003-03-25
2571-7251,127,2018-01-04
1466-4534,301,2002-07-26
2155-4714,301,2010-12-17
2707-532X,23478,2021-04-26
0807-0865,4502,2016-05-13
2636-4956,2895,2021-10-22
2527-600X,23914,2020-06-08
1474-7359,17074,2021-08-10
1089-6503,263,2009-01-05
2686-4630,18968,2021-06-20
0360-5949,1121,2006-05-05
2332-8487,3951,2019-12-16
0022-4332,4068,2014-01-09
2162-934X,3951,2012-09-03
0012-4974,297,2003-11-06
2715-7881,23721,2020-01-22
0341-0145,7744,2018-11-01
1339-9373,7894,2016-05-24
2468-3191,297,2016-05-27
0972-4362,16015,2019-10-03
2338-5006,18908,2021-01-04
2655-9315,10003,2021-03-30
2066-9399,30051,2021-10-04
1948-9544,80,2014-09-04
2615-2304,17122,2021-11-12
2707-3386,28851,2021-10-25
0252-2977,3029,2014-04-23
2656-8497,26404,2020-07-04
2367-2420,12270,2018-10-29
0794-4713,2895,2011-11-28
1981-3988,10692,2018-04-17
1901-1040,4226,2019-08-20
0151-301X,2000,2018-02-27
2211-2383,297,2013-07-16
2809-4689,31177,2021-12-25
1341-7452,78,2011-10-25
2618-6764,23279,2021-05-09
2713-0339,16663,2021-05-24
0935-4085,2030,2015-09-22
2774-9878,11796,2021-02-22
2745-6536,28963,2021-01-18
2730-7441,297,2021-11-18
2721-1126,12222,2021-04-07
1872-4620,297,2012-02-04
1467-2494,311,2002-07-26
1749-6020,4230,2018-09-28
2745-6927,16307,2020-12-14
1678-4391,530,2017-03-31
1390-6860,17873,2018-11-28
1359-4656,56,2016-03-21
2549-3078,5959,2020-09-30
2090-6234,8371,2016-05-04
2717-9370,28585,2020-12-11
2249-7706,8862,2016-09-30
2746-2331,9640,2021-04-05
2311-1186,18396,2019-02-19
2628-7412,297,2021-09-09
0212-0410,5067,2019-11-13
0250-7323,3029,2014-04-23
0159-1487,301,2018-07-12
2651-2602,27562,2020-12-23
0722-3420,374,2021-03-05
2309-6500,29279,2021-10-06
2722-7863,22290,2020-07-01
2715-4742,17969,2020-02-27
1880-7054,1664,2006-12-13
2721-0499,23031,2021-02-15
2348-2117,7803,2015-09-22
2301-9085,11282,2020-11-11
1596-8308,2895,2011-11-28
2774-3934,29406,2021-02-26
1973-2511,4169,2021-06-08
0393-4551,1121,2015-05-19
1055-7172,301,2008-01-08
2349-9176,5576,2019-06-12
2717-0381,11790,2020-10-28
2320-5695,4682,2013-02-19
2302-7274,10462,2017-08-02
1613-7639,297,2011-07-30
2309-4435,8539,2016-06-03
2148-1881,6007,2016-04-29
2231-1793,21859,2020-10-12
2154-3402,301,2010-05-06
1863-0278,5302,2021-06-04
2309-9496,1963,2013-10-16
2685-2071,8258,2020-04-15
2087-2089,22241,2021-04-30
1945-7774,2637,2010-11-08
2768-4121,22689,2021-08-23
2595-5802,4873,2020-11-04
2590-7891,11187,2017-11-27
2474-753X,12108,2021-02-03
2631-1542,12338,2019-03-06
2311-1518,9331,2020-01-15
2702-4830,5267,2021-01-18
2782-750X,16212,2021-08-08
0046-2039,179,2007-02-20
2249-9458,4682,2013-02-18
2721-5849,10045,2020-04-15
2358-3908,9775,2019-07-22
2543-0041,297,2021-08-24
2713-2366,31201,2021-07-08
2185-8691,4009,2011-11-24
2797-3921,30635,2021-10-31
2383-7292,9192,2020-03-19
2224-3534,14412,2017-11-27
2612-808X,21822,2020-01-23
2614-0039,5094,2021-02-15
2662-2742,297,2021-04-09
2665-010X,24750,2021-11-25
2789-3146,27466,2021-08-21
2685-0931,26422,2021-04-09
0125-9989,5307,2017-04-05
2662-3595,297,2021-07-28
1883-6275,1362,2012-02-27
2454-1370,8862,2016-07-30
1981-4690,530,2017-02-04
1538-7035,311,2002-10-06
2656-9221,17895,2020-09-16
2235-3658,6179,2019-07-28
2594-083X,9467,2021-08-16
2774-6623,9808,2021-02-01
2355-9195,18489,2021-04-07
2722-9785,14927,2020-09-14
2150-8194,2751,2009-12-29
2639-1716,5410,2018-09-17
2395-2636,15163,2019-10-26
1308-7231,4994,2013-05-01
0003-570X,13551,2021-04-27
2765-2998,28820,2021-02-26
2527-595X,18444,2020-10-11
2526-3366,4873,2017-03-22
0159-9011,301,2007-11-18
0976-6316,20219,2021-09-24
2581-0316,8473,2018-10-29
2582-7812,25964,2021-06-02
2598-5108,15980,2021-11-20
2797-3093,10804,2021-10-08
2541-3376,29302,2021-07-13
2715-8365,17408,2021-07-26
2337-9960,18425,2021-01-18
2622-5808,9735,2020-10-09
1938-6451,263,2007-10-15
2765-2157,29941,2021-06-09
0189-160X,2895,2011-11-30
0882-3871,301,2012-04-24
1575-2844,5828,2021-11-03
2093-0887,2998,2021-11-22
2326-3261,7672,2021-08-31
2345-4202,20123,2021-11-10
1934-5925,78,2021-12-25
1727-7191,286,2020-12-15
1978-5623,9027,2021-07-23
1757-7144,292,2021-11-23
1738-6454,7455,2020-02-11
2179-0027,3948,2021-10-14
2330-7749,5043,2017-07-06
2169-026X,2674,2019-01-18
1661-7746,297,2021-12-26
2663-6530,7257,2021-07-14
1554-6063,179,2021-09-14
2213-4565,297,2017-12-15
1470-1030,301,2019-02-01
2548-3161,11099,2021-08-11
2317-5125,7972,2021-08-23
0004-4717,374,2021-12-25
2200-3592,4387,2021-10-03
2210-7754,297,2017-02-23
2255-999X,9905,2021-07-27
1746-045X,3197,2016-04-05
0853-8964,15929,2021-08-24
2502-6062,8892,2021-03-10
2443-2946,9411,2021-01-05
1477-8424,78,2018-12-03
2477-6521,9477,2020-05-28
2371-4980,5784,2021-10-19
1562-6903,137,2021-03-14
1976-5517,3683,2020-12-01
1471-2121,297,2018-12-29
1475-5610,301,2021-05-05
2092-5603,6962,2017-11-24
1432-0517,297,2021-11-09
1732-1360,7349,2019-05-27
2152-7202,1010,2021-11-23
1431-0872,297,2013-09-09
1939-0114,311,2021-07-01
0803-706X,301,2021-11-05
1976-4324,20394,2019-09-02
1572-8889,297,2021-11-17
0003-8504,311,2021-10-26
2165-7939,2674,2019-03-13
0150-9861,78,2021-12-25
1750-0214,1931,2021-11-05
1646-043X,5676,2021-11-13
0216-2431,17246,2021-08-05
2185-6494,3662,2021-05-10
2056-7111,301,2021-10-16
1862-9660,297,2021-11-04
1876-8695,297,2021-10-01
1474-0087,56,2021-08-05
0022-2984,4459,2020-06-22
1568-5403,50,2021-11-02
2291-1847,1696,2020-04-03
2196-9019,5267,2021-06-10
0103-1104,3948,2016-03-22
1558-8033,1112,2021-11-22
1502-7716,301,2021-12-26
1347-4081,286,2020-02-26
0350-820X,1078,2021-11-26
1598-141X,2740,2017-11-29
0035-8665,239,2021-07-16
2685-2381,11528,2021-10-27
1749-7868,378,2021-11-11
0143-3636,276,2021-12-26
2774-6372,10849,2021-08-04
2079-3871,3547,2021-10-15
2657-0963,12327,2021-11-25
1880-6066,1038,2010-12-20
2230-5254,301,2021-11-15
0008-5006,301,2021-11-11
2512-1081,297,2021-11-09
0716-1018,2516,2021-10-14
1687-9244,98,2017-09-11
1939-4616,1015,2021-05-27
2598-4950,17652,2020-06-06
0191-4537,179,2021-09-29
0718-9729,1073,2021-11-02
2637-109X,4208,2021-11-15
2566-0292,7597,2021-01-18
1229-7429,8458,2021-11-10
2684-8929,27408,2021-09-19
1478-6443,301,2021-12-25
1434-4904,297,2020-06-10
2521-1099,1963,2021-10-29
1010-4283,297,2017-04-24
2042-0072,98,2021-11-04
1469-2961,301,2021-10-01
2329-6879,2674,2019-01-11
2317-6555,9550,2021-09-24
0003-0139,408,2021-09-17
2661-4375,11088,2021-06-29
1938-2480,194,2021-12-25
2259-2385,2000,2021-10-13
1930-8280,301,2021-11-02
1431-8806,297,2013-12-18
0940-6573,297,2021-06-15
1755-0394,378,2021-11-22
0235-2990,23928,2021-10-21
0196-6774,78,2014-05-24
2193-1801,297,2018-02-05
2195-0482,297,2021-04-20
1572-8587,297,2021-12-11
2364-3307,297,2021-10-29
1176-0710,301,2021-12-11
2406-8268,10769,2021-11-10
1516-3598,530,2019-11-27
0386-7196,333,2021-11-05
2227-3891,22926,2021-12-25
1869-3482,297,2021-11-24
0301-7257,2165,2021-06-16
1614-7626,2101,2018-09-26
2152-405X,301,2021-12-11
0252-9599,297,2021-11-12
2314-8071,98,2018-04-01
1617-6782,297,2021-10-28
1857-1727,10396,2021-12-26
2049-3002,297,2021-12-11
2278-8735,4786,2017-07-21
0038-2353,6689,2020-07-21
0458-726X,2273,2021-12-25
0160-7960,311,2021-10-01
2349-9745,9347,2018-08-05
1294-6303,2273,2021-11-11
1401-7431,301,2021-11-05
2519-0369,20893,2021-09-06
0156-7365,200,2016-01-07
1544-2721,2029,2021-11-18
1647-8630,5739,2018-02-06
2084-6118,374,2021-10-19
2312-461X,7088,2021-08-18
0974-8326,3478,2021-11-10
1923-2926,3222,2021-10-17
1758-8928,301,2021-11-01
1472-6793,297,2019-03-13
1615-5262,297,2021-11-24
2163-6958,301,2021-11-17
1006-9305,294,2006-01-16
2381-8107,301,2021-07-06
2622-2396,25380,2021-02-05
1812-5654,2297,2021-10-21
2196-9639,374,2020-11-30
1467-7962,286,2021-11-05
0925-4560,297,2021-12-11
1753-3546,5245,2021-01-20
2352-0132,78,2021-12-26
2101-647X,1762,2015-08-24
2327-0616,22,2021-11-16
0779-7389,4210,2020-11-23
2320-6691,22072,2021-11-16
1542-9768,311,2020-10-05
2192-2276,629,2021-09-07
2288-7202,7116,2017-06-20
2160-8849,2751,2021-11-19
1940-4034,179,2021-10-10
1927-9299,4194,2021-05-11
0177-4077,194,2021-10-17
2393-9079,9296,2021-09-04
2193-0961,297,2013-05-25
0020-1812,297,2021-11-22
2165-7548,2674,2019-03-18
1226-2587,5885,2017-06-20
1943-3557,56,2021-11-15
0943-3481,297,2017-07-28
0010-7990,297,2005-02-03
2573-5616,23228,2021-04-08
0167-3831,50,2021-11-20
2197-8689,297,2021-11-18
1710-114X,1696,2021-11-19
0038-0741,297,2021-11-24
2397-0820,3285,2021-11-16
1871-8000,50,2021-10-29
1687-7578,98,2021-09-21
0340-4528,374,2021-11-11
0081-1947,78,2021-11-19
1816-3378,2895,2021-10-22
1758-3209,56,2018-05-10
1694-609X,11882,2021-12-25
0031-8256,3884,2021-11-03
2548-768X,10930,2021-10-26
1753-5204,358,2021-02-01
0129-0835,219,2021-09-08
1949-6540,301,2021-12-19
2231-5853,3062,2019-07-06
1532-4095,301,2019-12-06
2471-3147,11859,2021-10-20
0341-2350,194,2021-01-26
1740-3812,297,2021-11-25
1610-6970,297,2019-05-14
0973-4228,7008,2021-09-14
0971-3557,179,2021-08-27
1479-3105,378,2021-07-06
1009-6124,297,2021-10-26
2314-4335,98,2021-10-27
1874-3811,965,2015-07-08
2191-5547,297,2021-06-15
2233-4084,5479,2015-07-30
1179-0644,179,2018-04-09
1226-7953,3915,2017-04-28
1016-2283,6467,2020-01-22
2348-196X,7803,2017-08-02
2516-6077,179,2021-12-05
1861-9541,297,2014-11-04
1540-7969,179,2021-10-29
2249-6912,10346,2021-09-16
0918-5739,125,2021-12-25
1940-6045,297,2021-11-05
0142-5080,301,2014-01-09
2045-0346,219,2017-11-03
1741-9352,171,2007-01-06
2211-002X,7437,2021-05-29
1687-9406,98,2017-05-25
1598-7809,4082,2013-01-10
2058-850X,56,2021-10-15
1610-0646,297,2021-10-28
2456-3374,26763,2021-12-04
1537-5269,286,2009-08-09
1744-764X,3197,2016-04-01
2352-9393,78,2020-09-09
0021-4787,1037,2021-12-19
1478-3320,297,2021-11-25
2158-0782,793,2021-09-16
2569-8605,297,2020-01-09
2309-7841,1963,2021-06-29
2090-8474,7831,2021-09-02
2056-5690,4912,2015-08-04
2588-1051,17628,2021-07-08
1521-0634,301,2021-09-27
0974-9853,297,2021-11-11
1798-2375,3129,2020-12-02
2548-6268,16009,2020-09-09
2314-5005,98,2019-03-10
1757-448X,219,2017-05-18
1874-270X,297,2021-11-26
0167-7063,301,2021-10-21
2415-3710,7787,2019-12-26
0304-3754,179,2021-11-19
0975-248X,10630,2021-07-06
2524-4884,297,2021-10-22
2171-9624,6355,2021-07-07
1216-2574,425,2016-01-09
2340-4396,5351,2021-09-09
2542-4998,297,2019-11-16
1874-5334,78,2016-08-02
0025-8105,1078,2021-10-19
2185-4823,6364,2019-03-11
1477-3996,301,2020-09-29
1547-3465,18112,2021-12-25
2314-7725,98,2017-07-19
0952-5238,56,2021-11-11
2311-7427,7761,2021-03-06
1461-1570,311,2018-05-10
1612-295X,374,2021-10-22
1017-0715,3629,2017-05-23
0972-8821,297,2021-11-15
2088-6977,16001,2021-08-09
1751-4088,378,2021-10-05
1626-1682,2273,2021-11-17
0970-2822,297,2013-11-09
2260-3875,2399,2021-12-11
2238-6416,3948,2013-12-13
0932-3414,374,2021-11-21
2314-4874,98,2018-11-12
1467-6338,311,2019-04-05
1808-0804,3162,2020-10-01
2522-8560,297,2021-11-24
1931-6828,297,2021-10-17
2324-9676,301,2021-10-26
2682-3578,9060,2021-06-14
0975-5616,297,2021-11-18
0917-1436,1527,2021-11-04
1568-2609,297,2018-04-21
1429-799X,4927,2021-04-23
1461-4103,138,2016-01-14
1361-4541,301,2021-10-29
2309-7523,30674,2021-10-20
2196-9973,297,2021-10-27
2449-8254,7349,2017-10-04
1874-6314,297,2019-12-15
1544-4376,301,2013-11-12
2055-0464,297,2020-05-29
2398-7103,24549,2021-09-01
2047-6396,1320,2017-01-13
1082-9873,72,2019-10-17
0269-9648,56,2021-11-25
1608-3083,297,2008-06-04
0100-4042,3948,2016-07-08
2211-8128,78,2016-05-05
2146-3123,3111,2021-06-01
2090-312X,98,2021-11-26
1865-4584,297,2020-10-19
1955-2564,2273,2021-01-19
1960-6214,297,2021-11-28
1674-7674,3081,2014-03-21
1413-8557,530,2017-06-23
2707-4323,23478,2021-10-04
2185-8896,4102,2021-11-01
1529-921X,311,2017-08-04
1464-0651,179,2021-10-27
0898-5626,301,2021-09-19
2214-1669,78,2017-12-09
0960-3131,219,2012-09-01
1527-9464,147,2021-12-19
0071-3260,297,2021-11-12
2581-2505,11853,2021-03-30
1343-1420,925,2021-11-10
1552-454X,179,2020-07-17
1871-4048,78,2018-02-05
2347-4254,2914,2020-07-18
1687-9457,98,2018-06-03
0353-765X,8900,2021-07-26
2500-0195,5666,2020-12-03
2617-9709,18845,2021-10-28
2472-0046,301,2021-06-08
1980-4865,7828,2021-09-09
2455-2550,8352,2021-06-28
2477-6238,10657,2021-12-19
2671-6267,20753,2021-07-23
2714-6367,17189,2021-09-28
2179-1309,8974,2021-11-22
0022-0256,200,2021-07-12
2325-8039,301,2021-09-15
2614-1639,11411,2021-08-29
2502-3918,9483,2021-01-26
1936-7228,320,2021-10-28
2176-5634,7245,2021-09-29
2153-4764,301,2021-09-03
1967-2055,2273,2021-10-22
0882-8539,3748,2020-12-10
1009-1742,6066,2021-11-16
2093-4750,8877,2021-09-28
1572-9591,297,2021-11-09
1925-5810,1130,2017-11-17
8756-6990,1627,2021-10-25
1619-7100,297,2021-10-13
2654-6299,28016,2021-07-21
2145-5880,7132,2021-10-11
2477-3816,8184,2021-09-05
1130-5762,5067,2021-11-22
0918-0729,2115,2021-09-30
1738-5180,20297,2019-12-31
1070-8030,276,2016-12-14
0928-1258,78,2021-11-17
2468-838X,2581,2021-11-19
0013-6654,5043,2018-10-15
2198-9745,297,2021-11-11
1534-1844,147,2021-08-08
1826-7386,4169,2021-10-07
0032-678X,374,2021-07-27
0933-2480,301,2021-11-17
2528-0864,8420,2021-09-06
2077-0197,26992,2021-10-19
2066-7779,374,2021-11-16
1802-9876,3461,2021-11-25
1753-6146,301,2017-07-20
2146-2844,7398,2016-10-25
0065-2164,78,2021-11-03
2385-5290,20335,2019-06-19
1829-5088,7508,2021-11-06
2511-8412,5267,2021-04-12
2197-621X,194,2021-11-10
0018-4276,5267,2021-03-14
2090-2999,98,2018-05-31
2317-6318,530,2021-11-01
2462-7291,3612,2020-12-23
1673-7407,297,2011-12-14
2565-9510,7597,2021-08-17
1001-2400,24566,2021-11-24
2375-8430,5726,2017-05-14
2192-4805,297,2021-09-21
1999-1479,1963,2014-06-03
1015-7344,2399,2021-03-16
1876-6056,297,2019-12-02
2752-6356,140,2021-11-13
2328-2142,6863,2021-09-17
1468-4780,1936,2021-12-25
2702-9301,5471,2021-03-03
0261-1279,56,2020-09-04
0893-5688,98,2007-03-08
1744-9480,301,2021-10-21
2541-4321,17238,2021-02-26
1651-1972,301,2021-11-02
2351-0862,5031,2018-12-20
2147-7892,19492,2021-09-27
1940-7041,276,2021-01-19
1935-973X,297,2018-10-23
2666-2507,78,2021-11-23
1340-6116,1036,2021-10-04
1084-8223,179,2021-11-26
2527-4724,17701,2021-04-28
1748-748X,56,2021-04-29
2155-6113,2674,2019-02-06
2472-3371,10954,2021-11-18
2580-3808,15945,2021-04-15
2392-4101,1670,2019-04-12
1806-9339,530,2015-12-05
2372-3939,301,2017-02-03
0964-9425,140,2014-11-16
2278-0661,4786,2017-07-21
1971-3266,4818,2018-01-10
2718-2916,6950,2021-02-15
0854-8285,7463,2021-08-04
1598-3749,7905,2021-09-30
1894-4183,6579,2021-09-24
2331-5857,3394,2018-12-05
2586-5188,12029,2021-07-22
2329-7034,3242,2021-11-02
0128-7532,9745,2021-09-14
2313-531X,1861,2019-10-17
0307-9201,324,2007-10-09
1945-1474,276,2021-11-13
2077-4508,22581,2021-04-17
2193-3170,297,2021-04-19
2096-5796,78,2021-11-11
2165-8048,2674,2019-03-21
0021-8707,78,2007-10-05
1026-3713,5068,2018-05-22
1882-398X,2402,2021-11-11
1744-8107,56,2008-08-21
2622-5611,16917,2021-11-03
1687-7489,98,2018-04-01
2447-701X,28675,2021-06-23
1766-2923,2399,2021-11-24
2040-4700,78,2020-05-06
2408-8420,1861,2011-12-09
2618-7183,19942,2021-10-22
1883-0609,5623,2021-12-26
1873-1821,301,2021-01-22
0254-7821,9869,2021-10-13
2730-9851,297,2021-11-24
0006-5242,297,2007-02-02
1938-1980,301,2018-12-13
2319-2046,3062,2018-12-12
0165-4004,374,2021-12-25
2037-0164,2549,2021-10-23
2600-8432,16374,2020-06-25
0036-9276,1881,2021-10-22
0033-3883,3430,2021-10-29
0034-351X,1338,2017-04-20
2577-5898,9154,2021-04-06
1879-7865,1757,2021-09-15
2308-782X,3356,2021-07-19
2383-2762,19818,2020-05-10
1864-4031,297,2021-11-17
1433-2973,297,2008-11-07
1861-2288,297,2013-04-03
2541-531X,10595,2021-02-14
1945-2810,276,2021-11-08
1940-5847,8103,2020-03-24
1867-2027,297,2014-08-01
2468-8673,78,2021-10-30
1982-6745,6721,2021-01-18
2223-3059,3356,2019-07-22
1545-3251,22,2021-10-14
1634-7072,78,2021-11-20
1536-0644,276,2021-03-20
2249-5290,14882,2018-01-04
1226-4067,8140,2020-03-12
1468-2753,301,2020-03-09
1932-5223,311,2021-06-30
1546-0126,5195,2021-11-24
2149-2263,3111,2021-04-30
2153-4012,6672,2021-10-13
1749-4907,426,2021-04-01
0884-3759,301,2011-09-24
1121-4171,2549,2019-04-07
1793-9453,297,2021-11-25
2356-0851,4386,2021-09-29
2305-9931,301,2021-11-22
1687-9341,98,2019-04-14
0869-8538,6171,2021-04-29
2475-529X,18493,2021-02-05
1805-5443,4868,2020-11-27
1976-8192,4728,2015-09-22
2377-9292,5316,2021-10-22
1934-8398,1627,2021-08-03
1876-0880,297,2021-09-15
1989-2446,7022,2021-02-02
2552-0334,2273,2020-12-19
1307-3818,8443,2021-09-01
0007-7720,1696,2021-11-19
0137-8651,5967,2021-06-28
1586-202X,5401,2021-07-15
0342-328X,374,2021-11-09
1179-5697,1320,2018-02-14
1556-6560,17,2021-11-11
0020-6652,311,2018-08-05
0928-1541,50,2021-12-04
2325-4262,78,2021-07-28
2394-7438,2581,2021-05-25
2228-6918,3819,2019-05-15
2374-4642,22,2021-10-18
2214-7799,297,2020-11-27
1225-505X,5220,2021-10-07
0370-7539,311,2018-08-06
1620-3224,2399,2021-12-04
1303-0248,16530,2021-10-19
2309-236X,17097,2021-11-18
2305-7688,3356,2021-08-27
2615-8531,10267,2021-07-03
2375-2874,7831,2021-09-12
2503-4197,8892,2021-07-06
2685-1997,18255,2019-12-20
1726-541X,3820,2015-10-07
2072-0076,8956,2021-09-15
0126-043X,25285,2021-11-22
2340-9436,78,2019-09-04
1572-0233,297,2021-09-09
2335-660X,219,2021-07-06
0934-5272,5267,2021-04-20
2407-4098,16728,2021-08-16
1465-6620,378,2021-08-27
0974-7141,7952,2019-04-20
2365-9718,2086,2018-06-14
2579-8537,18489,2021-04-29
2662-1940,297,2021-07-15
2576-7895,147,2021-05-30
2560-6697,10063,2018-02-02
1989-4651,4046,2021-09-09
2722-2179,24557,2021-11-22
2589-7330,2581,2020-06-05
2326-4004,5096,2019-10-30
2248-9622,4786,2017-08-03
1806-129X,530,2018-12-15
2221-7436,1861,2017-12-07
1532-7930,301,2021-11-17
1360-6719,301,2014-11-18
2310-3655,5931,2021-11-25
0124-0064,530,2012-12-19
2375-0537,320,2021-09-16
1436-8269,297,2008-06-13
0035-7596,2058,2021-08-11
2654-5144,16001,2021-08-27
2317-6636,9168,2021-09-09
1160-6436,2000,2018-04-26
2598-7941,9726,2021-06-15
2505-0044,8656,2020-11-19
1555-1024,301,2016-09-02
2233-1158,9069,2021-08-16
0124-0579,5388,2021-06-01
1972-5221,4169,2021-09-14
2529-7562,219,2021-10-14
2158-0308,301,2011-04-03
2712-8571,11732,2021-09-29
0735-2689,301,2021-10-26
1945-774X,11,2021-10-29
2052-0468,239,2021-07-16
1469-2147,56,2021-10-27
2264-2641,2273,2020-05-13
2686-6609,17408,2021-04-13
2073-6215,14412,2020-12-02
2198-2562,297,2021-11-10
2345-5063,3819,2021-10-25
2710-2661,28053,2021-10-12
1881-6894,124,2013-12-09
2153-764X,408,2017-01-04
2255-9930,9905,2021-09-22
2293-7382,18618,2021-06-28
2074-7217,1963,2019-02-06
2324-8114,374,2021-11-28
0044-5134,4687,2018-06-25
2685-8800,17711,2021-07-24
2599-0993,8420,2021-10-04
2200-5846,5870,2019-06-07
0708-1715,4194,2019-04-15
2578-9813,6042,2021-11-06
1531-0485,147,2016-06-27
0956-4233,140,2014-11-14
1662-9752,2457,2021-10-18
0899-2363,73,2021-10-13
1528-3585,286,2021-12-11
1805-2363,5452,2021-11-08
2306-3432,6114,2021-11-15
1572-9605,297,2007-12-02
1982-4327,530,2021-11-19
1798-5617,10084,2021-06-27
0240-642X,1762,2018-12-08
1004-3756,297,2021-11-25
2415-170X,1963,2021-10-17
0009-4633,301,2021-11-11
1568-4849,78,2021-12-26
2321-0710,179,2021-12-25
2009-003X,1846,2014-01-14
2194-5411,297,2021-12-11
0383-6320,4194,2021-10-01
1229-3350,5079,2017-07-14
2041-3092,179,2017-06-15
1838-837X,67,2020-11-09
1744-263X,378,2021-11-16
2059-7347,297,2020-12-22
2085-0433,9411,2021-11-26
2395-5155,10203,2021-09-10
1745-8390,297,2018-07-09
1096-2883,78,2019-12-06
1531-6912,98,2012-12-27
1999-0561,1963,2020-12-17
1812-383X,7928,2021-08-23
1610-7780,374,2014-08-29
2318-1982,8337,2021-10-25
1461-7153,179,2021-10-25
1611-6607,2101,2021-10-14
2210-2892,965,2018-05-07
2182-438X,1941,2020-09-10
1040-8436,301,2021-10-20
2148-7561,5153,2020-04-24
1477-7800,297,2019-12-11
1613-1142,374,2021-06-01
1945-8509,73,2021-09-09
2161-489X,2751,2021-01-28
2550-4983,6020,2020-04-05
0289-8063,1038,2012-10-26
1814-2338,301,2010-05-25
2335-2388,6097,2021-10-11
2712-8679,29611,2021-11-10
0176-5035,297,2013-12-18
0250-5150,7261,2017-12-03
2083-4314,10233,2019-09-26
2663-6905,19981,2021-12-04
1475-262X,301,2021-10-26
2090-8814,98,2017-12-10
2412-1746,7834,2021-08-19
1086-3176,147,2021-12-19
2215-3659,6049,2021-07-06
1540-7012,301,2014-11-24
2186-2990,9118,2021-12-11
1615-6005,297,2016-04-05
1710-1115,147,2017-03-05
2041-0999,301,2012-09-11
1433-2671,194,2020-12-23
1861-4264,297,2013-05-25
2173-1675,20820,2021-09-30
1881-3046,124,2013-12-26
